ID,pro_ori.[0],pro_ori.[1],pro_ori.[2],pro_ori.[3],pro_ori.[4],pro_ori.[5],pro_ori.[6],pro_ori.[7],pro_dup.[0],pro_dup.[1],pro_dup.[2],pro_dup.[3],pro_dup.[4],pro_dup.[5],pro_dup.[6],pro_dup.[7]
INFL_8187,O_95,O_99,O_98,,,,,,D_132,D_95,D_133,,,,,
INFL_8179,O_523,,,O_524,,,,O_246,D_134,,,D_135,,,,D_136
INFL_8075,O_410,,O_538,O_539,,,,,D_132,,,D_137,,,,
INFL_8005,O_421,O_278,,,,O_251,,,D_132,D_0,,,,D_131,,
INFL_0128,O_37,O_248,,O_402,,,,,D_139,D_140,,D_141,,,,
INFL_0129,O_108,O_567,O_47,O_408,,,,,D_51,D_142,D_143,,,,,
INFL_8024,,O_394,,O_510,,,,,,D_145,,D_146,,,,
INFL_0131,O_235,O_496,,,,,,O_596,D_120,D_0,,,,,,D_148
INFL_8152,O_84,,O_344,,,,,O_65,D_98,,D_149,,,,,D_150
INFL_0133,O_329,O_348,O_11,,,,,,D_120,D_95,D_152,,,,,
INFL_0134,O_188,O_428,O_174,,O_406,,,,D_51,D_0,D_154,,D_155,,,
INFL_0135,O_491,,,,,,O_435,O_73,D_139,,,,,,D_156,
INFL_0136,O_278,,O_377,,,,O_454,,D_0,,D_157,,,,D_158,
INFL_0137,O_278,,,,O_83,,,,D_0,,,,D_159,,,
INFL_8171,O_355,O_278,,O_142,,,,O_455,D_160,,,D_141,,,,
INFL_8172,O_93,,O_92,,,,O_589,O_455,D_84,,D_162,,,,D_163,
INFL_0140,O_420,O_54,O_368,O_7,,,,,D_164,D_165,D_166,D_167,,,,
INFL_0141,,O_548,,,,,,O_3,,D_142,,D_155,,,,D_169
INFL_0142,O_436,O_248,O_48,,,,,O_594,D_51,D_95,D_170,,,,,
INFL_0143,O_230,O_39,,O_72,,,,,D_139,D_171,,D_172,,,,
INFL_8159,O_165,O_533,,O_196,,,,,D_50,D_2,,D_173,,,,
INFL_0145,O_309,O_348,,,,,,,D_139,D_95,,,,,,
INFL_0146,O_188,O_211,,O_62,,,,,D_51,D_174,,D_175,,,,
INFL_0147,O_143,,O_538,,,,O_457,O_515,D_50,,,,,,D_176,D_177
INFL_0148,O_472,,,,O_470,,,,D_117,,,,D_139,,,
INFL_0149,O_549,,O_69,,O_474,,,O_555,D_78,,D_178,,D_107,,,D_179
INFL_0150,O_174,,,,,,O_65,O_385,D_174,,,,,,D_150,
INFL_8163,O_221,O_533,O_487,O_552,,,,,,D_2,D_181,D_172,,,,
INFL_8164,O_493,O_428,,,,,,O_180,D_117,D_0,,,,,,D_108
INFL_0153,O_418,O_428,,,O_306,,,,D_95,D_0,,,D_183,,,
INFL_0154,O_84,,O_190,,,,,O_456,D_98,,D_184,,,,,
INFL_0155,O_297,,,,O_304,,,O_283,D_185,,,,D_183,,,D_186
INFL_0156,,O_278,O_591,,,,O_404,O_407,,D_187,D_188,,,,D_189,D_108
INFL_0157,O_280,O_533,O_557,,,,O_527,O_65,D_50,D_2,D_190,,,,D_191,D_150
INFL_8094,O_392,O_389,O_395,,,,,,D_192,D_193,D_122,,,,,
INFL_0159,O_302,O_519,O_226,,,,,O_287,,D_95,D_165,,,,,D_185
INFL_0160,O_442,O_335,,,O_306,,,,D_195,D_196,,,D_197,,,
INFL_0161,O_449,,,,,,O_334,O_275,D_198,,,,,,D_199,D_200
INFL_0162,O_274,O_354,O_10,,,,O_334,O_323,D_50,D_71,D_202,,,,D_199,D_203
INFL_0163,,O_533,O_70,O_352,,,,O_3,,,D_205,D_184,,,,D_206
