ID,str_prd_title,str_prd_link,num_prd_price,str_prd_type,str_prd_key
D_401,Maybelline Super stay foundation,https://www.maybelline.co.uk/face/foundation/superstay-24hr,0,D,D_401
D_402,NYX concealer in a jar,https://www.cultbeauty.co.uk/nyx-professional-makeup-concealer-jar.html,0,D,D_402
D_403,Maybelline Nude embrace color sensational,https://www.superdrug.com/Maybelline/Maybelline-Color-Sensational-Mattes-Nude-Embrace/p/520000,0,D,D_403
D_404,Revolution Re-loaded palette iconic devision,https://www.revolutionbeauty.com/en/Revolution-Re-Loaded-Palette---Iconic-Division/m-5829.aspx,0,D,D_404
D_405,The ordinary foundation,https://www.cultbeauty.co.uk/the-ordinary-coverage-foundation.html,0,D,D_405
D_406,Revolution highlighter golden lights,https://www.superdrug.com/Make-Up/Face/Face-Highlighter/Revolution-Highlighter-Golden-Lights/p/978758,0,D,D_406
D_407,E.L.F Nude eyeshadow palette rose gold,https://www.elfcosmetics.co.uk/rose-gold-eyeshadow-palette---sunset/81495.html?cgid=eyes-eyeshadow#start=1,0,D,D_407
D_408,Revolution vivid baked highlight,https://www.revolutionbeauty.com/en/Revolution-Vivid-Baked-Highlighter---Peach-Lights/m-1413.aspx,0,D,D_408
D_409,E.L.F contour palette,https://www.elfcosmetics.co.uk/contour-palette/300046.html,0,D,D_409
D_410,Maybelline Graffiti eyeshadow palette,https://www.boots.com/maybelline-palette-the-nudes-10193897,0,D,D_410
D_411,hard candy glamouflage,https://www.amazon.co.uk/Hard-Candy-Glamoflauge-CONCEALER-312/dp/B005C2O3PO,0,D,D_411
D_412,Bourjois Bromzer range maxi delight bronzer,https://www.lookfantastic.com/bourjois-maxi-delight-bronzer-18g/10828840.html,0,D,D_412
D_413,NYX lipliner natural,https://www.nyxcosmetics.co.uk/en_GB/lips/lip-pencils/slim-lip-pencil/NYX_052.html,0,D,D_413
D_414,Barry M fine glitter dust,https://www.barrym.com/product/Fine-Glitter-Dust-,0,D,D_414
D_415,LA pro girl concealer,https://www.beautybay.com/makeup/lagirl/proconcealhdhighdefinitionconcealer/,0,D,D_415
D_416,MUA undress your skin highlighting powder,https://www.muastore.co.uk/makeup/face/highlighter/highlighting-powder/undress-your-skin-highlighting-powder,0,D,D_416
D_417,NYX powder blush Mauve,https://www.thebeautystore.co.uk/makeup/facial-makeup/blushers/nyx-cosmetics-powder-blush-4g/,0,D,D_417
D_418,Revolution pro regeneration eyeshadow palette mischeif matte,https://www.revolutionbeauty.com/en/Revolution-Pro-Regeneration-Palette---Trends-Mischief-Mattes/m-6337.aspx,0,D,D_418
D_419,MUA undress your skin highlighting powder- golden after glow,https://www.muastore.co.uk/shimmer-highlight-powder/undress-your-skin-highlighting-powder-golden-afterglow,0,D,D_419
